id,조사연도,조사시작일자,조사종료일자,한글보통명,학명,경도,위도,개체수,시도명
008020194000000148,2016.0,2016-12-22,2016-12-22,직박구리,Microscelis amaurotis,129.27796000001106,36.859476999992175,4.0,
008020194000000149,2016.0,2016-12-22,2016-12-22,딱새,Phoenicurus auroreus,129.27796000001106,36.859476999992175,1.0,
008020194000000150,2016.0,2016-12-22,2016-12-22,박새,Parus major,129.2784000000111,36.86429799999216,4.0,경상북도
008020194000000151,2016.0,2016-12-22,2016-12-22,검은등할미새,Motacilla grandis,129.2784000000111,36.86429799999216,1.0,경상북도
008020194000000152,2016.0,2016-12-22,2016-12-22,쑥새,Emberiza rustica,129.2784000000111,36.86429799999216,97.0,경상북도
008020194000000153,2016.0,2016-12-22,2016-12-22,백할미새,Motacilla alba lugens,129.2784000000111,36.86429799999216,1.0,경상북도
008020194000000154,2017.0,2017-05-17,2017-05-17,흰배지빠귀,Turdus pallidus,129.24185900001015,36.90846999999286,2.0,경상북도
008020194000000155,2017.0,2017-05-17,2017-05-17,되지빠귀,Turdus hortulorum,129.24185900001015,36.90846999999286,1.0,경상북도
008020194000000156,2017.0,2017-05-17,2017-05-17,박새,Parus major,129.24185900001015,36.90846999999286,2.0,경상북도
008020194000000157,2017.0,2017-05-17,2017-05-17,검은등뻐꾸기,Cuculus micropterus,129.24352200001022,36.905910999992834,1.0,경상북도
008020194000000158,2017.0,2017-05-17,2017-05-17,쇠딱다구리,Dendrocopos kizuki,129.24352200001022,36.905910999992834,1.0,경상북도
008020194000000159,2017.0,2017-05-17,2017-05-17,노랑할미새,Motacilla cinerea,129.24352200001022,36.905910999992834,2.0,경상북도
008020194000000160,2017.0,2017-05-17,2017-05-17,곤줄박이,Parus varius,129.24557900001025,36.903750999992795,1.0,경상북도
008020194000000161,2017.0,2017-05-17,2017-05-17,오목눈이,Aegithalos caudatus magnus,129.24557900001025,36.903750999992795,5.0,경상북도
008020194000000162,2017.0,2017-05-17,2017-05-17,쇠솔새,Phylloscopus borealis,129.24557900001025,36.903750999992795,2.0,경상북도
008020194000000163,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.24557900001025,36.903750999992795,2.0,경상북도
008020194000000164,2017.0,2017-05-17,2017-05-17,뻐꾸기,Cuculus canorus,129.24557900001025,36.903750999992795,1.0,경상북도
008020194000000165,2017.0,2017-05-17,2017-05-17,알락할미새,Motacilla alba leucopsis,129.24637200001027,36.90593099999277,1.0,경상북도
008020194000000166,2017.0,2017-05-17,2017-05-17,뻐꾸기,Cuculus canorus,129.24637200001027,36.90593099999277,1.0,경상북도
008020194000000167,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.24637200001027,36.90593099999277,3.0,경상북도
008020194000000168,2017.0,2017-05-17,2017-05-17,오목눈이,Aegithalos caudatus magnus,129.24637200001027,36.90593099999277,4.0,경상북도
008020194000000169,2017.0,2017-05-17,2017-05-17,동고비,Sitta europaea,129.24637200001027,36.90593099999277,2.0,경상북도
008020194000000170,2017.0,2017-05-17,2017-05-17,쇠박새,Parus palustris,129.25254300001043,36.90202699999266,2.0,경상북도
008020194000000171,2017.0,2017-05-17,2017-05-17,딱새,Phoenicurus auroreus,129.25254300001043,36.90202699999266,1.0,경상북도
008020194000000172,2017.0,2017-05-17,2017-05-17,큰부리까마귀,Corvus macrorhynchos,129.25254300001043,36.90202699999266,1.0,경상북도
008020194000000173,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.25254300001043,36.90202699999266,1.0,경상북도
008020194000000174,2017.0,2017-05-17,2017-05-17,뻐꾸기,Cuculus canorus,129.25298900001044,36.903275999992644,1.0,경상북도
008020194000000175,2017.0,2017-05-17,2017-05-17,노랑턱멧새,Emberiza elegans,129.25298900001044,36.903275999992644,1.0,경상북도
008020194000000176,2017.0,2017-05-17,2017-05-17,쏙독새,Caprimulgus indicus,129.24303000001018,36.91321499999284,1.0,경상북도
008020194000000177,2017.0,2017-05-17,2017-05-17,산솔새,Phylloscopus coronatus,129.24303000001018,36.91321499999284,1.0,경상북도
008020194000000178,2017.0,2017-05-17,2017-05-17,흰배지빠귀,Turdus pallidus,129.24303000001018,36.91321499999284,2.0,경상북도
008020194000000179,2017.0,2017-05-17,2017-05-17,검은등뻐꾸기,Cuculus micropterus,129.24303000001018,36.91321499999284,1.0,경상북도
008020194000000180,2017.0,2017-05-17,2017-05-17,뻐꾸기,Cuculus canorus,129.2467090000103,36.91406399999277,1.0,경상북도
008020194000000181,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.2467090000103,36.91406399999277,4.0,경상북도
008020194000000182,2017.0,2017-05-17,2017-05-17,산솔새,Phylloscopus coronatus,129.2467090000103,36.91406399999277,1.0,경상북도
008020194000000183,2017.0,2017-05-17,2017-05-17,쇠딱다구리,Dendrocopos kizuki,129.2467090000103,36.91406399999277,1.0,경상북도
008020194000000184,2017.0,2017-05-17,2017-05-17,딱새,Phoenicurus auroreus,129.2475580000103,36.91395099999276,1.0,경상북도
008020194000000185,2017.0,2017-05-17,2017-05-17,동고비,Sitta europaea,129.25024700001038,36.91725999999269,1.0,경상북도
008020194000000186,2017.0,2017-05-17,2017-05-17,오목눈이,Aegithalos caudatus magnus,129.25024700001038,36.91725999999269,3.0,경상북도
008020194000000187,2017.0,2017-05-17,2017-05-17,노랑턱멧새,Emberiza elegans,129.25024700001038,36.91725999999269,2.0,경상북도
008020194000000188,2017.0,2017-05-17,2017-05-17,들꿩,Tetrastes bonasia,129.25024700001038,36.91725999999269,6.0,경상북도
008020194000000189,2017.0,2017-05-17,2017-05-17,벙어리뻐꾸기,Cuculus saturatus,129.25077700001037,36.91706199999269,1.0,경상북도
008020194000000190,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.25077700001037,36.91706199999269,2.0,경상북도
008020194000000191,2017.0,2017-05-17,2017-05-17,큰부리까마귀,Corvus macrorhynchos,129.25077700001037,36.91706199999269,1.0,경상북도
008020194000000192,2017.0,2017-05-17,2017-05-17,박새,Parus major,129.27557000001102,36.88291599999221,1.0,경상북도
008020194000000193,2017.0,2017-05-17,2017-05-17,검은등뻐꾸기,Cuculus micropterus,129.27557000001102,36.88291599999221,1.0,경상북도
008020194000000194,2017.0,2017-05-17,2017-05-17,노랑할미새,Motacilla cinerea,129.27557000001102,36.88291599999221,1.0,경상북도
008020194000000195,2017.0,2017-05-17,2017-05-17,되지빠귀,Turdus hortulorum,129.27557000001102,36.88291599999221,1.0,경상북도
008020194000000196,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.27697200001106,36.88226299999218,2.0,경상북도
008020194000000197,2017.0,2017-05-17,2017-05-17,흰배지빠귀,Turdus pallidus,129.27697200001106,36.88226299999218,1.0,경상북도
008020194000000198,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.27697200001106,36.88226299999218,1.0,경상북도
008020194000000199,2017.0,2017-05-17,2017-05-17,호랑지빠귀,Zoothera aurea,129.27697200001106,36.88226299999218,1.0,경상북도
008020194000000200,2017.0,2017-05-17,2017-05-17,때까치,Lanius bucephalus,129.28176700001117,36.89089999999208,1.0,경상북도
008020194000000201,2017.0,2017-05-17,2017-05-17,동고비,Sitta europaea,129.28176700001117,36.89089999999208,3.0,경상북도
008020194000000202,2017.0,2017-05-17,2017-05-17,딱새,Phoenicurus auroreus,129.28176700001117,36.89089999999208,1.0,경상북도
008020194000000204,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.28369900001124,36.89217499999204,1.0,경상북도
