id,학명,한글보통명,위도,경도,조사일자,조사연도,시도명,개체수,geometry
008000000002364164,Podiceps cristatus,뿔논병아리,36.733111110483904,126.65450000044916,2014-03-14,2014,충청남도,,POINT (169139.2620999999 459450.5734999999)
008000000002364165,Podiceps cristatus,뿔논병아리,36.733111110483904,126.65450000044916,2014-03-14,2014,충청남도,,POINT (169139.2620999999 459450.5734999999)
008000000002097468,Dendrocopos major,오색딱다구리,36.655028061014924,126.63866690026147,2014-03-15,2014,충청남도,,POINT (167692.3596000001 450790.7155000009)
008000000002097453,Buteo buteo,말똥가리,36.640000001311634,126.69430609954483,2014-03-15,2014,충청남도,,POINT (172661.8948999997 449105.7410000004)
008000000002097451,Picus canus,청딱다구리,36.63655611054805,126.68691690019239,2014-03-15,2014,충청남도,,POINT (171999.8331000004 448725.6973000001)
008000000002097447,Buteo buteo,말똥가리,36.63369389090494,126.6343060995961,2014-03-15,2014,충청남도,,POINT (167293.4298 448424.7043999992)
008000000002097234,Picus canus,청딱다구리,35.602500000498736,128.0634531005343,2014-03-22,2014,경상남도,,POINT (296365.5221999995 334460.5750999991)
008000000002286026,Buteo buteo,말똥가리,35.61658611075561,128.01063310018242,2014-03-22,2014,경상남도,,POINT (291562.9826999996 335973.0924999993)
008000000002286023,Picus canus,청딱다구리,35.610811110670305,128.0123081000132,2014-03-22,2014,경상남도,,POINT (291721.3355 335333.8734000009)
008000000002286027,Picus canus,청딱다구리,35.61658611075561,128.01063310018242,2014-03-22,2014,경상남도,,POINT (291562.9826999996 335973.0924999993)
008000000002097233,Dendrocopos major,오색딱다구리,35.602500000498736,128.0634531005343,2014-03-22,2014,경상남도,,POINT (296365.5221999995 334460.5750999991)
008000000002097264,Picus canus,청딱다구리,35.62193611110165,128.11380609976672,2014-03-22,2014,경상남도,,POINT (300904.0608999999 336667.6568999998)
008000000002097202,Picus canus,청딱다구리,35.55852806101214,128.05791689984954,2014-03-22,2014,경상남도,,POINT (295916.2597000003 329576.1554000005)
008000000002105687,Picus canus,청딱다구리,35.599386110544,128.02511889945532,2014-03-22,2014,경상남도,,POINT (292895.3189000003 334078.2028999999)
008000000002275357,Picus canus,청딱다구리,35.45860306118384,128.37723310042924,2014-03-22,2014,경상남도,,POINT (325023.5706000002 318846.2843999993)
